name
"1ST CONSULTING SAS,"
"2PAR PRODUCCIONES SAS,"
"4 CUARTOS SOCIEDAD POR ACCIONES SIMPLIFICADA,"
"4 PAJAROS S.A.S,"
"8 DE DIAMANTES SAS,"
"49 PM LLC,"
"60 FPS SAS,"
"212 ESTUDIO SAS,"
"360 GROUP SAS,"
"903 GROUP SAS,"
"A & C LOGISTICA & PRODUCCION DE EVENTOS LTDA,"
"A CREATIVO SAS,"
"A.L. GAS POR RED & REDES CONTRA INCENDIO,"
"ABC MULTIESPACIOS SAS,"
"ABC PUBLICIDAD MOVIL SAS,"
"ABEL Y SOFIA SAS,"
"ACCESO COLOMBIA SAS,"
"ACIMUT S.A,"
"ACINPRO,"
"ACREDITANDO.CO S A S,"
"ACTIVA2 SOLUCIONES LOGISTICAS SAS,"
"ADMINISTRADORA HOTELERA MEDELLIN SA,"
"ADMINISTRADORA ROSALES SAS,"
"ADMNISTRADORA HOTELERA DANN SAS,"
"ADOLFO ANDRES MARIN ZAPATA,"
"ADRIAN RICARDO ORTEGA FIGUEROA,"
"AEQUO VOX LLC,"
"AEROINFLABLES SAS,"
"AEROVIAS DEL CONTINENTE AMERICANO SA AVIANCA,"
"AFRODISE FZ-LLC,"
"AFTERLIFE MEDELLIN CLUB SAS,"
"AG CORP SAS,"
"AGASAJOS DE LUJO CORP,"
"AGHO PUBLICIDAD BTL SAS,"
"AIRES Y SERVICIOS DEL VALLE SAS,"
"AIROD D.O.O,"
"AKIRENTO SAS,"
"ALAN QUEIPO BONET,"
"ALBERTO JORGE VARGAS BUENO,"
"ALEGRIA GMBH,"
"ALEJANDRA RUCE ROJAS,"
"ALEJANDRO CORREA SULLIVANI,"
"ALEJANDRO GONZALEZ LONDOÑO,"
"ALEJANDRO POSADA GUEVERA,"
"ALEJANDRO RESTREPO LOPEZ,"
"ALEJANDRO VELOZA UAREZ,"
"ALEX CHIMBY PRODUCTIONS INC,"
"ALEXANDER ARCE HERNANDEZ,"
"ALFA ALQUILERES LOGISTICA SAS,"
"ALFA PRODUCIONES SAS,"
"ALFOMBRAS FOREX S.A.S,"
"ALIANZA INTEGRAL COM SAS,"
"ALINA VELEZ COMUNICACIONES SAS,"
"ALISON JULIET CUCHIA RAMIREZ,"
"ALL IN GROUP SAS,"
"ALLENDALE SAS,"
"ALMACENES EXITO S A,"
"ALO STREAM,"
"ALQUILER DE COMPUTADORES SAS,"
"ALSINTER SAS,"
"ALTAS VISTAS SAS,"
"ALTIPAL S A S,"
"ALVARO JAVIER PEÑA VALDERRAMA,"
"AMARIZ EU,"
"AMAZING EXPERIENCE LLC,"
"AMAZON FOODS & DRINKS SAS,"
"AMBIGU RESTAURANT SAS,"
"AMBULANCIAS PRIMEROS AUXILIOS LTDA,"
"AMIT AGAMI MUSIC LTD,"
"AMMARA NIWAZ LARRANAGA,"
"AN FAD SAS,"
"ANA MARIA LOZANO,"
"ANA MILENA PRIETO OYALA,"
"ANDAMIOS Y EQUIPOS CERTIFICADOS SAS,"
"ANDREA CORDOBA,"
"ANDREA MILENA FIGUEROA CAMPOS,"
"ANDRES ALFONSO TAMARA ISAZA,"
"ANDRES ALVARADO,"
"ANDRES CHAMORRO ILUMINACIONES SAS,"
"ANDRES EDUARDO SIERRA VERANO,"
"ANDRES FELIPE GUASCA JIMENEZ,"
"ANDRES FELIPE RODRIGUEZ,"
"ANDRES POVEDA ROCHA,"
"ANDRES SANTIAGO ORTEGON PINILLA,"
"ANDRES TANGARIFE FOOD EXPERIENCE,"
"ANDRII VANZHULA,"
"ANGELA MARIA ALVAREZ ALVAREZ,"
"ANGELICA MARIA ALFONSO NARANJO,"
"ANGELICA MARIA BARBOSA CUERVO,"
"ANGELICA MARIA MEZA AWAD,"
"ANJUSARI SAS,"
"ANNA WALL,"
"ANTARTIDA INVESTMENTS LLC,"
"ANTONIO ALEXIS QUEVEDO ROMERO,"
"ANTONIO JOSE PRADA CAÑON,"
"ANZOLA GARCIA VALENTINA,"
"APAMI SAS,"
"Apodaca Promotions, Inc,"
"APPETITUS BY SILVIA IBAÑEZ SAS,"
"ARANGO BUILES SANDRA CATALINA,"
"ARBOLEDA ZAPATA TOMAS,"
"ARCA PUBLICIDAD Z SAS,"
"ARCOS DORADOS COLOMBIA SAS,"
"AREMOL SAS,"
"ARENA PLUS SAS,"
"ARIN CONSTRUCTORES SAS,"
"ARLA SYSTEMS LIMITED,"
"ARMOTODO PRODUCCIONES SAS,"
"AROD,"
"ART.TEX SAS,"
"ART3 PRODUCCIONES SAS,"
"ARTE Y MISO, LLC,"
"ARTIFICE ICE COMPANY S.A.S.,"
"ASOCIACION DE AMIGOS DEL MUSEO NACIONAL,"
"ASOCIACION DE EMPRENDEDORES,"
"ASOCIACION DE INVERSIONISTAS INMOBILIARIOS S A MORRISON HOTEL,"
"ASOCIACION MEDELLIN CULTURAL,"
"ASOCIACION NACIONAL DE ANUNCIANTES DE COLOMBIA,"
"ASOCIACION NACIONAL DE MUSICA SINFONICA DE COLOMBIA,"
"ASYMPTOTE LLC,"
"ATI HOTELES SAS,"
"ATL TOURING INC,"
"ATLANTIC PRODUCCIONES SAS,"
"ATRAPALO COLOMBIA SAS,"
"ATTON BOGOTA 93 SAS,"
"AUDIO PERFORMANCE SAS,"
"AUDIO RENTAL SOLUTIONS SAS,"
"AUDIO ROAD COLOMBIA S A S,"
"AUDIO WAVE SAS,"
"AUGE MOVILIDAD SAS,"
"AURA GALVEZ,"
"AVG COLOMBIA SAS,"
"AVILAS GROUP S.A.S,"
"AX2 GOURMET,"
"AXIS RECORDS LLC,"
"AY SOLUTONS SAS,"
"AZ. AGRICOLA FATTORIA TERRANOVA DI RUOPPO LUIGI,"
"AZAR PUBLICIDAD SAS,"
"B2B TRADEMARKED SAS,"
"B4 WORLDWIDE SLU,"
"BACCHIATOLLC,"
"BAKATA LOGIX SAS,"
"BAÑO MOVIL S A S,"
"BARRAGAN ARANGO SEBASTIAN,"
"BARRANCO RACEDO MAURICIO JOSE,"
"BASILIC S A S,"
"BDO COLOMBIA,"
"BE TE ELE SAS,"
"BEBIDAS EPICAS SAS,"
"BEN STERLING ARTIST LTD,"
"BENEMERITO CUERPO DE BOMBEROS VOLUNTARIOS DE CALI,"
"BERKLEY INTERNATIONAL SEGUROS COLOMBIA S.A,"
"BETTCI JANIRA PERDOMO BELTRAN,"
"BEYER EDILSON SUAREZ AVILA,"
"BH HOTELES HOTEL CLL 75 SAS,"
"BILL YOUNG PRODUCTIONS,"
"BIOMA AGENCIA DE ARTISTAS S.A.S,"
"BIOVO SAS,"
"BIZCOCHOS SAS,"
"BLACK MASS,"
"BLACK OUT PRODUCTORA SAS,"
"BLACK RIVER PRODUCCIONES SAS,"
"BLIND CREATOR SAS,"
"BLOND:ISH LLC,"
"BOCME SAS,"
"BOG HOTEL OPERADORA SAS,"
"BOGOTA DISTRITO CAPITAL,"
"BOGOTAPLAN SAS,"
"BOISSARD TAPIAS NATALIE,"
"BOMBA ESTEREOSAS,"
"BORONDO TRAVEL S.A.S,"
"BOSCOSO S.A.S,"
"BOUTIQUE CARTAGENA SAS,"
"BPM LATAM SAS,"
"BRADIAN ESTEBAN MEDINA ARANGO,"
"BRAND PROJECT SAS,"
"BRAVO ENTERTAINMENT SAS,"
"BREAK IT BTL SAS,"
"BREYER EDILSON SUAREZ AVILA,"
"BRI SAS,"
"BRING THE AWESOME,"
"BRL MEDIA SAS,"
"BROMELIA DISEÑO Y PAISAJISMO SAS,"
"BROOKLYN POPTAILS SAS,"
"BRUTALISMUS 3000 GMBH,"
"BURNING TOURING INC,"
"C DE CABALLERO,"
"C3 PRESENTS LLC,"
"CABIFY EMPRESARIAL,"
"CACHE BOMBITA S A S,"
"CACHE BOMBITAS.A.S.,"
"CACIQUE CENTRO COMERCIAL Y DE NEGOCIOS PH,"
"CAJA COLOMBIANA DE SUBSIDIO FAMILIAR,"
"CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,"
"CALA MUSIC SAS,"
"CALAMARO ANDRES.,"
"CAMALEON TECH SAS,"
"CAMARA DE COMERCIO DE PEREIRA,"
"CAMILA ALEJANDRA PULIDO VASQUEZ,"
"CAMILO ANDRES BAEZ BERNAL,"
"CAMILO ANDRES GONZALEZ CUBILLOS,"
"CAMILO ANDRES MUÑOZ CORREDOR,"
"CAMILO BONILLA GARCIA,"
"CAMILO ERNESTO SANCEMENTE RUGE,"
"CAMILO JOSE VILLABONA TABIMA,"
"CAMILO ROZO SAS,"
"CANADA INC,"
"CAPI INC S.A.S.,"
"CAPITAL GRAFFITI SAS,"
"CAPTA TECNOLOGÍA Y DESARROLLO SAS,"
"CAR RENTAL SOLUTIONS S A S,"
"CARACOL PRIMERA CADENA RADIAL COLOMBIANA S A,"
"CARACOL TELEVISION S A,"
"CARDALES AMADOR JAVIER ALEXANDER,"
"CARDENAS LANCHEROS MANUEL JULIAN,"
"CARGO WAY LOG SA DE CV,"
"CARLOS ALBERTO CORONADO MELENDEZ,"
"CARLOS ANDRES LEON,"
"CARLOS ANDRES PERILLA MARTINEZ,"
"CARLOS ANDRES TORRES ANAYA,"
"CARLOS ARTURO RUIZ PAREDES,"
"CARLOS DANIEL APONTE CASTILLO,"
"CARLOS DAVID PANADERO SEGURA,"
"CARLOS ESPITIA CHAVARRIAGA,"
"CARLOS HERNAN LOSADA OROZCO,"
"CARLOS HUMBERTO ARAGON RODRIGUEZ,"
"CARLOS HUMBERTO GARZON CHIVARA,"
"CARLOS STEVAN APONTE TEJADA,"
"CARMINE CONTE,"
"CARNAVAL DE BARRANQUILLA SAS,"
"CARNIVOROS CYJ SAS,"
"CARO MOBILIARIO SAS,"
"CAROLINA SHUTTLECRAFT INC.,"
"CARPAS CAPITAL SAS,"
"CARPAS VENTO S A S,"
"CARTEL MEDIA SAS,"
"CASA EDITORIAL EL TIEMPO SA,"
"CASAS DHAL SAS,"
"CASAS PARDO SUAREZ SAS,"
"CASCARA TECH SAS,"
"CASH FOR CHAOS,"
"CASSIAN STEWART KASIMBA,"
"CASTELLANOS JUANA,"
"CASTILLO CARDONA ALAN DAVID,"
"CATARINA VELASQUEZ NEGRET,"
"CAUSE SA BOOKINGSRL,"
"CCESTAN FORCE SAS,"
"CEMEX COLOMBIA S.A.,"
"CENTRAL DE OPERACIONES SAS,"
"CENTRO COLOMBO AMERICANO,"
"CENTRO COMERCIAL CHIPICHAPE PROPIEDAD HORIZONTAL,"
"CENTRO COMERCIAL CIUDAD TUNAL - PROPIEDAD HORIZONTAL,"
"CENTRO COMERCIAL PALMETTO PLAZA - PROPIEDAD HORIZONTAL,"
"CENTRO DE CONVENCIONES BAHIA LIMITADA,"
